날짜,종가,시가,고가,저가,거래량,변동률,RSI_14,MACD,신호선,MA5,MA20,MA60
2025-07-04,"3,054.28","3,122.28","3,123.84","3,052.91",520.76M,-1.99%,32.24357133138824,-34.81890210638221,-23.077771005604607,3109.134,3179.8255,3236.2148333333334
2025-07-03,"3,116.27","3,100.33","3,116.27","3,085.98",539.12M,1.34%,32.24357133138824,-34.14082838723152,-25.29038248192999,3095.7419999999997,3173.3669999999997,3231.7185
2025-07-02,"3,075.06","3,083.82","3,090.61","3,032.47",696.80M,-0.47%,32.24357133138824,-36.50791218690256,-27.533888422924505,3084.0060000000003,3164.3965,3225.1176666666665
2025-07-01,"3,089.65","3,089.64","3,133.52","3,088.45",576.02M,0.58%,32.24357133138824,-36.78254579420218,-29.38361989718004,3078.946,3157.3505,3218.742833333333
2025-06-30,"3,071.70","3,072.75","3,086.00","3,063.42",464.16M,0.52%,32.24357133138824,-38.01044909571374,-31.10898573688678,3081.3920000000003,3150.4595,3211.8346666666666
2025-06-27,"3,055.94","3,077.87","3,093.56","3,041.85",381.63M,-0.77%,32.24357133138824,-39.79652206304354,-32.84649300211813,3081.7239999999997,3143.454,3204.9561666666664
2025-06-26,"3,079.56","3,108.34","3,113.03","3,036.55",460.61M,-0.92%,32.24357133138824,-38.85812883729841,-34.04882016915418,3074.382,3137.9095,3198.8615
2025-06-25,"3,108.25","3,127.79","3,129.09","3,084.86",644.76M,0.15%,32.24357133138824,-35.39143182183125,-34.3173424996896,3081.02,3134.1335,3192.9773333333337
2025-06-24,"3,103.64","3,061.14","3,105.04","3,061.14",579.20M,2.96%,32.24357133138824,-32.63978678895137,-33.98183135754196,3083.818,3130.8185000000003,3187.8146666666667
2025-06-23,"3,014.47","2,992.20","3,019.81","2,971.36",625.65M,-0.24%,32.24357133138824,-37.22525251203433,-34.63051558844043,3072.372,3121.0015,3180.562166666666
2025-06-20,"3,021.84","2,986.52","3,022.06","2,972.37",484.86M,1.48%,32.24357133138824,-39.805714232261835,-35.66555531720471,3065.5519999999997,3112.6899999999996,3174.137666666667
2025-06-19,"2,977.74","2,989.56","2,996.04","2,954.47",433.31M,0.19%,32.24357133138824,-44.891765845177815,-37.510797422799335,3045.1879999999996,3101.9625,3167.1743333333334
2025-06-18,"2,972.19","2,933.63","2,979.32","2,933.63",576.55M,0.74%,32.24357133138824,-48.807712084981176,-39.77018035523571,3017.9759999999997,3091.2529999999997,3160.974166666667
2025-06-17,"2,950.30","2,959.93","2,998.62","2,925.79",939.59M,0.12%,32.24357133138824,-53.065758716337314,-42.42929602745603,2987.308,3078.004,3154.9036666666666
2025-06-16,"2,946.66","2,903.50","2,947.07","2,886.13",726.35M,1.80%,32.24357133138824,-56.0874675162172,-45.16093032520827,2973.746,3065.2355,3149.6805
2025-06-13,"2,894.62","2,930.57","2,932.38","2,877.07",931.66M,-0.87%,32.24357133138824,-61.967068797989214,-48.52215801976446,2948.302,3051.178,3144.264333333333
2025-06-12,"2,920.03","2,909.99","2,934.31","2,909.99",713.71M,0.45%,32.24357133138824,-63.84040804954293,-51.585808025720155,2936.76,3038.018,3139.512833333333
2025-06-11,"2,907.04","2,887.32","2,908.16","2,879.92",393.93M,1.23%,32.24357133138824,-65.61683728595062,-54.39201387776625,2923.73,3026.683,3134.6163333333334
2025-06-10,"2,871.85","2,872.62","2,885.67","2,849.67",508.18M,0.56%,32.24357133138824,-69.06803583543297,-57.3272182692996,2908.04,3014.528,3129.4068333333335
2025-06-09,"2,855.77","2,841.56","2,867.27","2,841.39",537.62M,1.55%,32.24357133138824,-72.26760124217344,-60.31529486387437,2889.862,3004.343,3124.1304999999998
2025-06-05,"2,812.05","2,790.33","2,831.11","2,787.76",556.01M,1.49%,32.24357133138824,-77.4384561763186,-63.73992712636322,2873.348,2992.2315,3118.6158333333337
2025-06-04,"2,770.84","2,737.92","2,771.03","2,734.02",489.94M,2.66%,32.24357133138824,-83.89461367542071,-67.77086443617472,2843.5099999999998,2974.96,3111.6963333333333
2025-06-02,"2,698.97","2,692.91","2,719.87","2,685.14",323.60M,0.05%,32.24357133138824,-93.7300121299827,-72.96269397493631,2801.8959999999997,2956.1555,3103.407166666667
2025-05-30,"2,697.67","2,713.24","2,717.54","2,689.87",525.66M,-0.84%,32.24357133138824,-100.47136405728952,-78.46442799140695,2767.06,2936.5564999999997,3095.2490000000003
2025-05-29,"2,720.64","2,691.06","2,720.64","2,686.64",448.34M,1.89%,32.24357133138824,-102.77571255808789,-83.32668490474315,2740.034,2919.0035,3087.603666666667
2025-05-28,"2,670.15","2,648.86","2,692.47","2,643.50",405.47M,1.25%,32.24357133138824,-107.4375729212993,-88.14886250805438,2711.654,2899.714,3078.6085000000003
2025-05-27,"2,637.22","2,630.29","2,642.63","2,625.66",318.29M,-0.27%,32.24357133138824,-112.49256240334444,-93.0176024871124,2684.93,2877.597,3069.75
2025-05-26,"2,644.40","2,598.45","2,644.40","2,595.96",380.17M,2.02%,32.24357133138824,-114.59829419237258,-97.33374082816444,2674.0160000000005,2854.4044999999996,3061.4610000000002
2025-05-23,"2,592.09","2,603.57","2,604.14","2,589.51",434.02M,-0.06%,32.24357133138824,-119.11499808187,-101.68999227890556,2652.9,2828.827,3052.4943333333335
2025-05-22,"2,593.67","2,614.66","2,616.53","2,588.09",358.06M,-1.22%,32.24357133138824,-121.17025043880494,-105.58604391088545,2627.506,2807.787,3043.196166666667
2025-05-21,"2,625.58","2,615.90","2,633.41","2,614.73",371.53M,0.91%,32.24357133138824,-118.85410626901012,-108.23965638251039,2618.5919999999996,2787.974,3034.001166666667
2025-05-20,"2,601.80","2,622.68","2,622.91","2,598.10",456.99M,-0.06%,32.24357133138824,-117.58198070841263,-110.10812124769083,2611.5080000000003,2769.1769999999997,3023.6035
2025-05-19,"2,603.42","2,613.70","2,619.43","2,593.44",313.30M,-0.89%,32.24357133138824,-115.11610477679415,-111.1097179535115,2603.312,2750.7385000000004,3013.254333333333
2025-05-16,"2,626.87","2,630.64","2,633.98","2,619.10",359.71M,0.21%,32.24357133138824,-110.00163098675921,-110.88810056016105,2610.268,2734.567,3003.8703333333333
2025-05-15,"2,621.36","2,634.50","2,643.83","2,618.08",339.58M,-0.73%,32.24357133138824,-105.18052894628454,-109.74658623738576,2615.8059999999996,2718.302,2994.1135
2025-05-14,"2,640.57","2,625.36","2,646.01","2,619.15",390.50M,1.23%,32.24357133138824,-98.67225208897571,-107.53171940770376,2618.804,2705.5995,2984.622833333334
2025-05-13,"2,608.42","2,601.76","2,620.64","2,601.58",422.46M,0.04%,32.24357133138824,-95.01337703451418,-105.02805093306586,2620.1279999999997,2690.0190000000002,2974.301833333333
2025-05-12,"2,607.33","2,593.94","2,607.33","2,585.60",409.75M,1.17%,32.24357133138824,-91.1509150740726,-102.25262376126722,2620.91,2675.0335,2964.4550000000004
2025-05-09,"2,577.27","2,587.93","2,589.58","2,571.20",485.55M,-0.09%,32.24357133138824,-89.48396151447787,-99.69889131190935,2610.9900000000002,2660.3045,2954.1095
2025-05-08,"2,579.48","2,581.27","2,590.90","2,575.78",471.64M,0.22%,32.24357133138824,-86.98188722688155,-97.1554904949038,2602.614,2646.49,2944.638333333334
2025-05-07,"2,573.80","2,577.04","2,581.85","2,559.17",546.76M,0.55%,32.24357133138824,-84.48343144911314,-94.62107868574567,2589.26,2634.5775000000003,2935.5448333333334
2025-05-02,"2,559.79","2,556.52","2,567.04","2,540.57",585.49M,0.12%,32.24357133138824,-82.68078454118495,-92.23301985683354,2579.5340000000006,2624.025,2924.1173333333336
2025-04-30,"2,556.61","2,561.04","2,570.83","2,544.46",487.49M,-0.34%,32.24357133138824,-80.57989839347829,-89.9023955641625,2569.39,2616.907,2912.4863333333333
2025-04-29,"2,565.42","2,550.25","2,571.41","2,542.25",547.08M,0.65%,32.24357133138824,-77.31282350973697,-87.3844811532774,2567.02,2610.2945,2901.4005
2025-04-28,"2,548.86","2,551.23","2,558.69","2,541.97",454.10M,0.10%,32.24357133138824,-75.19311727877448,-84.94620837837682,2560.8959999999997,2601.7055,2890.3894999999998
2025-04-25,"2,546.30","2,544.59","2,553.33","2,534.94",403.53M,0.95%,32.24357133138824,-72.87969368153927,-82.53290543900931,2555.3959999999997,2595.513,2879.560333333334
2025-04-24,"2,522.33","2,525.34","2,530.61","2,507.21",327.94M,-0.13%,32.24357133138824,-72.14878124858751,-80.45608060092495,2547.904,2589.7684999999997,2868.425
2025-04-23,"2,525.56","2,520.56","2,526.72","2,507.10",538.12M,1.57%,32.24357133138824,-70.49625690654784,-78.46411586204954,2541.6940000000004,2583.8265,2857.4548333333337
2025-04-22,"2,486.64","2,481.18","2,494.59","2,476.14",416.68M,-0.07%,32.24357133138824,-71.50289730060149,-77.07187214975994,2525.938,2578.554,2846.0665000000004
2025-04-21,"2,488.42","2,486.38","2,498.84","2,479.23",428.98M,0.20%,32.24357133138824,-71.33473353753106,-75.92444442731417,2513.85,2573.2915000000003,2834.0266666666666
2025-04-18,"2,483.42","2,473.30","2,486.37","2,466.90",450.98M,0.53%,32.24357133138824,-70.78891026404244,-74.89733759465983,2501.2740000000003,2566.1835,2822.2825000000003
2025-04-17,"2,470.41","2,451.70","2,473.24","2,447.40",601.74M,0.94%,32.24357133138824,-70.59239447696109,-74.03634897112009,2490.8900000000003,2559.614,2810.251166666667
2025-04-16,"2,447.43","2,472.78","2,475.83","2,442.72",613.17M,-1.21%,32.24357133138824,-71.46711977794394,-73.52250313248487,2475.264,2551.8145,2797.9353333333333
2025-04-15,"2,477.41","2,464.51","2,482.56","2,461.23",560.34M,0.88%,32.24357133138824,-68.94643880546118,-72.60729026708013,2473.418,2544.3415,2785.6375
2025-04-14,"2,455.89","2,454.28","2,465.56","2,449.48",488.62M,0.95%,32.24357133138824,-67.90252706000592,-71.66633762566529,2466.912,2536.068,2773.201833333333
2025-04-11,"2,432.72","2,400.74","2,433.18","2,394.25",369.70M,-0.50%,32.24357133138824,-68.1591486034813,-70.9648998212285,2456.772,2525.6755000000003,2760.817666666667
2025-04-10,"2,445.06","2,395.13","2,445.06","2,391.39",670.39M,6.60%,32.24357133138824,-66.59907546969725,-70.09173495092226,2451.7019999999998,2517.5074999999997,2748.514833333333
2025-04-09,"2,293.70","2,329.99","2,337.58","2,284.72",699.64M,-1.74%,32.24357133138824,-76.6921341202119,-71.41181478478019,2420.9559999999997,2501.826,2734.514166666667
2025-04-08,"2,334.23","2,381.20","2,381.31","2,328.94",557.02M,0.26%,32.24357133138824,-80.49265432651009,-73.22798269312618,2392.3199999999997,2489.674,2721.5021666666667
2025-04-07,"2,328.20","2,359.25","2,369.40","2,327.01",619.50M,-5.57%,32.24357133138824,-83.03400030778084,-75.18918621605711,2366.782,2477.11,2709.3143333333333
2025-04-04,"2,465.42","2,450.49","2,506.71","2,438.02",695.08M,-0.86%,32.24357133138824,-73.13250214145046,-74.77784940113578,2373.322,2471.691,2699.5
2025-04-03,"2,486.70","2,437.43","2,488.92","2,437.43",480.06M,-0.76%,32.24357133138824,-62.84394942262861,-72.39106940543435,2381.6499999999996,2468.0364999999997,2689.0071666666668
2025-04-02,"2,505.86","2,525.62","2,532.15","2,499.83",515.60M,-0.62%,32.24357133138824,-52.53851410819425,-68.42055834598634,2424.082,2465.499,2679.5205
2025-04-01,"2,521.39","2,511.24","2,530.61","2,494.43",453.39M,1.62%,32.24357133138824,-42.62686519679164,-63.2618197161474,2461.514,2463.2974999999997,2670.0495
2025-03-31,"2,481.12","2,513.44","2,514.22","2,479.46",391.59M,-3.00%,32.24357133138824,-37.587973711256836,-58.127050515169294,2492.098,2459.9105,2660.2065
2025-03-28,"2,557.98","2,592.63","2,592.63","2,549.26",513.56M,-1.89%,32.24357133138824,-27.08048922872922,-51.91773825788128,2510.6099999999997,2460.4945,2651.9071666666664
2025-03-27,"2,607.15","2,620.28","2,633.03","2,603.41",403.31M,-1.39%,32.24357133138824,-14.617126865168302,-44.45761597933869,2534.7,2464.7355,2644.0336666666667
2025-03-26,"2,643.94","2,628.09","2,649.15","2,618.05",507.92M,1.08%,32.24357133138824,-1.7509925134872901,-35.916291286168416,2562.316,2470.6544999999996,2636.2951666666663
2025-03-25,"2,615.81","2,653.04","2,654.63","2,612.74",439.28M,-0.62%,32.24357133138824,6.105277904649938,-27.511977448004746,2581.2,2477.113,2628.1646666666666
2025-03-24,"2,632.07","2,636.43","2,648.82","2,629.38",372.43M,-0.42%,32.24357133138824,13.487993726215336,-19.311983213160733,2611.3900000000003,2484.2954999999997,2621.7913333333336
2025-03-21,"2,643.13","2,633.90","2,645.82","2,617.78",497.53M,0.23%,32.24357133138824,20.000742660760352,-11.449438038376517,2628.42,2492.281,2615.4795
2025-03-20,"2,637.10","2,648.16","2,650.72","2,629.20",455.02M,0.32%,32.24357133138824,24.394369402517896,-4.280676550197635,2634.4100000000003,2500.6155,2609.802166666667
